date,rainfall_mm,river_level_m,humidity_percent,latitude,longitude
2025-10-20,190,4.13,95,28.6139,77.209
2025-10-21,217,4.81,98,28.6139,77.209
2025-10-22,43,4.15,56,28.6139,77.209
2025-10-23,161,4.35,77,28.6139,77.209
2025-10-24,201,5.86,63,28.6139,77.209
2025-10-25,269,4.38,44,28.6139,77.209
2025-10-26,270,4.83,91,28.6139,77.209
2025-10-27,214,4.63,73,28.6139,77.209
2025-08-29,197,4.1,72,28.7041,77.1025
2025-08-30,239,5.54,47,28.7041,77.1025
2025-08-31,143,3.06,92,28.7041,77.1025
2025-09-01,96,3.19,99,28.7041,77.1025
2025-09-02,200,5.88,83,28.7041,77.1025
2025-09-03,123,3.99,83,28.7041,77.1025
2025-09-04,186,6.07,44,28.7041,77.1025
2025-09-05,258,6.12,78,28.7041,77.1025
2025-09-06,147,7.2,43,28.7041,77.1025
2025-09-07,251,5.6,45,28.7041,77.1025
2025-09-08,146,3.05,84,28.7041,77.1025
2025-09-09,147,4.44,71,28.7041,77.1025
2025-09-10,198,4.02,91,28.7041,77.1025
2025-09-11,127,5.25,69,28.7041,77.1025
2025-09-12,38,3.42,86,28.7041,77.1025
2025-09-13,128,4.14,74,28.7041,77.1025
2025-09-14,266,5.54,94,28.7041,77.1025
2025-09-15,150,5.24,79,28.7041,77.1025
2025-09-16,297,5.52,91,28.7041,77.1025
2025-09-17,98,4.76,55,28.7041,77.1025
2025-09-18,262,6.67,52,28.7041,77.1025
2025-09-19,251,5.17,89,28.7041,77.1025
2025-09-20,143,3.5,99,28.7041,77.1025
2025-09-21,111,3.6,81,28.7041,77.1025
2025-09-22,59,4.3,69,28.7041,77.1025
2025-09-23,1,3.1,58,28.7041,77.1025
2025-09-24,253,6.16,56,28.7041,77.1025
2025-09-25,139,6.15,95,28.7041,77.1025
2025-09-26,36,3.59,58,28.7041,77.1025
2025-09-27,159,3.78,67,28.7041,77.1025
2025-09-28,8,4.14,97,28.7041,77.1025
2025-09-29,232,5.37,94,28.7041,77.1025
2025-09-30,98,4.85,65,28.7041,77.1025
2025-10-01,146,5.53,76,28.7041,77.1025
2025-10-02,207,4.11,65,28.7041,77.1025
2025-10-03,130,5.68,92,28.7041,77.1025
2025-10-04,151,5.42,62,28.7041,77.1025
2025-10-05,53,2.93,48,28.7041,77.1025
2025-10-06,119,4.49,51,28.7041,77.1025
2025-10-07,160,4.86,92,28.7041,77.1025
2025-10-08,115,4.17,40,28.7041,77.1025
2025-10-09,74,4.61,97,28.7041,77.1025
2025-10-10,112,5.56,97,28.7041,77.1025
2025-10-11,103,4.04,40,28.7041,77.1025
2025-10-12,253,6.86,86,28.7041,77.1025
2025-10-13,226,6.25,73,28.7041,77.1025
2025-10-14,111,4.34,71,28.7041,77.1025
2025-10-15,98,4.16,93,28.7041,77.1025
2025-10-16,152,3.37,87,28.7041,77.1025
2025-10-17,193,3.43,64,28.7041,77.1025
2025-10-18,162,4.79,79,28.7041,77.1025
2025-10-19,207,4.21,84,28.7041,77.1025
2025-10-20,168,4.64,92,28.7041,77.1025
2025-10-21,160,4.07,40,28.7041,77.1025
2025-10-22,67,1.88,55,28.7041,77.1025
2025-10-23,288,6.24,78,28.7041,77.1025
2025-10-24,276,5.35,44,28.7041,77.1025
2025-10-25,134,4.42,61,28.7041,77.1025
2025-10-26,194,4.05,68,28.7041,77.1025
2025-10-27,127,3.94,94,28.7041,77.1025
2025-08-29,75,5.7,84,28.5355,77.391
2025-08-30,153,4.49,52,28.5355,77.391
2025-08-31,143,4.96,89,28.5355,77.391
2025-09-01,85,3.67,67,28.5355,77.391
2025-09-02,184,4.75,97,28.5355,77.391
2025-09-03,284,5.33,59,28.5355,77.391
2025-09-04,219,5.24,67,28.5355,77.391
2025-09-05,68,4.17,47,28.5355,77.391
2025-09-06,46,5.14,80,28.5355,77.391
2025-09-07,93,2.06,78,28.5355,77.391
2025-09-08,237,6.98,40,28.5355,77.391
2025-09-09,203,5.56,42,28.5355,77.391
2025-09-10,217,4.8,52,28.5355,77.391
2025-09-11,38,2.83,67,28.5355,77.391
2025-09-12,99,5.03,96,28.5355,77.391
2025-09-13,288,6.11,99,28.5355,77.391
2025-09-14,253,4.0,88,28.5355,77.391
2025-09-15,221,5.57,64,28.5355,77.391
2025-09-16,22,4.36,95,28.5355,77.391
2025-09-17,249,6.35,72,28.5355,77.391
2025-09-18,9,2.46,77,28.5355,77.391
2025-09-19,245,4.11,92,28.5355,77.391
2025-09-20,99,3.66,45,28.5355,77.391
2025-09-21,289,9.14,97,28.5355,77.391
2025-09-22,179,3.25,83,28.5355,77.391
2025-09-23,222,4.38,84,28.5355,77.391
2025-09-24,249,5.88,71,28.5355,77.391
2025-09-25,146,4.34,84,28.5355,77.391
2025-09-26,95,3.75,86,28.5355,77.391
2025-09-27,256,7.58,60,28.5355,77.391
2025-09-28,3,2.18,55,28.5355,77.391
2025-09-29,15,3.14,93,28.5355,77.391
2025-09-30,279,5.99,60,28.5355,77.391
2025-10-01,246,4.66,50,28.5355,77.391
2025-10-02,257,4.13,99,28.5355,77.391
2025-10-03,159,4.86,76,28.5355,77.391
2025-10-04,151,6.32,75,28.5355,77.391
2025-10-05,177,5.17,74,28.5355,77.391
2025-10-06,162,4.71,58,28.5355,77.391
2025-10-07,32,3.4,59,28.5355,77.391
2025-10-08,178,4.52,96,28.5355,77.391
2025-10-09,100,5.18,57,28.5355,77.391
2025-10-10,267,5.16,86,28.5355,77.391
2025-10-11,64,2.28,80,28.5355,77.391
2025-10-12,167,3.09,88,28.5355,77.391
2025-10-13,42,3.5,53,28.5355,77.391
2025-10-14,43,4.49,54,28.5355,77.391
2025-10-15,284,6.08,70,28.5355,77.391
2025-10-16,11,2.79,40,28.5355,77.391
2025-10-17,94,4.4,92,28.5355,77.391
2025-10-18,252,5.71,93,28.5355,77.391
2025-10-19,241,6.24,93,28.5355,77.391
2025-10-20,34,4.67,42,28.5355,77.391
2025-10-21,214,4.19,55,28.5355,77.391
2025-10-22,89,1.55,62,28.5355,77.391
2025-10-23,263,5.28,96,28.5355,77.391
2025-10-24,92,2.9,50,28.5355,77.391
2025-10-25,89,4.72,51,28.5355,77.391
2025-10-26,114,3.42,49,28.5355,77.391
2025-10-27,104,2.16,71,28.5355,77.391
